wave,R
5.489681198,3401.80593
5.655941292,3420.20929
5.769687286,3435.974728
5.874643365,3462.224357
5.997152227,3475.370771
6.102108307,3501.6204
6.233325944,3527.878129
6.364534567,3556.75758
6.495734174,3588.258755
6.609435091,3617.132806
6.749388551,3648.636681
6.898041772,3695.873593
7.046713023,3737.867059
7.134152382,3766.73301
7.247835268,3800.850507
7.378980784,3848.082019
7.492609578,3897.929853
7.658761489,3947.793888
7.781189213,3984.535808
7.441745277,3415.51665
7.581752828,3431.290187
7.739277101,3444.447402
7.896774327,3465.469785
8.071779259,3486.497568
8.185471161,3517.993343
8.360458062,3544.264571
8.500420537,3573.146723
8.622857276,3607.26692
8.771537543,3646.638664
8.911445926,3691.251152
9.077633898,3730.628295
9.217542282,3775.240784
9.296191727,3814.590927
9.392339862,3856.568193
9.471016353,3888.053167
9.558428666,3924.784287
9.715790663,3985.132513
9.16652472,3337.396869
9.31531317,3345.307938
9.455293676,3368.946644
9.665277957,3400.472118
9.866499371,3434.616616
10.05895792,3471.380136
10.20766523,3502.886711
10.34763672,3529.14714
10.50507084,3568.521583
10.67126783,3605.277003
10.78495071,3639.3945
10.92488614,3676.141821
11.0472778,3723.370632
11.18717717,3770.604844
11.3096049,3807.346764
11.41453393,3841.461561
11.20665923,3196.452941
11.32912301,3222.707969
11.42527115,3264.685235
11.53020018,3298.800032
11.65265495,3327.676784
11.74884816,3356.545436
11.8712849,3390.665633
12.06372542,3432.672599
12.22990437,3474.671465
12.41361808,3508.810562
12.61484851,3540.333337
12.83356861,3577.104958
13.08734921,3600.778764
13.2711711,3603.457187
13.48995431,3621.876748
13.28182718,3050.276367
13.43054351,3079.161218
13.58799566,3113.292216
13.75414757,3163.15625
13.92910742,3197.292648
14.10404925,3236.672491
14.24396665,3278.663257
14.45395093,3310.188732
14.6464275,3341.708806
14.82136031,3383.710372
14.96131377,3415.214247
15.13628264,3446.728921
15.31122447,3486.108765
15.48621137,3512.379994
15.59993032,3536.0106
15.13819389,2890.923678
15.25186776,2927.662898
15.35678778,2964.399418
15.47046165,3001.138638
15.60162519,3043.126704
15.71524497,3095.596262
15.87267909,3134.970705
16.03884903,3179.591294
16.18753832,3216.341314
16.3625162,3245.234266
16.48497999,3271.489294
16.67746558,3300.387646
16.86117929,3334.526744
17.06245479,3352.940904
17.23747775,3368.725242
17.45628801,3379.279634
17.0305136,2458.922613
17.08287444,2506.129825
17.15271594,2561.207605
17.2138126,2613.660962
17.29241697,2666.119719
17.37976618,2721.202899
17.44959866,2778.902402
17.53695688,2831.363859
17.65933953,2881.214393
17.77297734,2928.440505
17.90417695,2959.941679
18.07910976,3001.943246
18.297911,3015.11936
18.49932173,2994.207678
18.66578016,2954.933136
18.81476695,2905.166302
18.94631815,2834.420286
19.03411812,2758.417323
19.13058179,2708.63429
19.20956481,2650.980687
19.24469741,2616.90909
19.01817006,2304.853871
19.1757304,2307.524194
19.35952524,2318.067786
19.55208296,2325.992355
19.76212133,2341.787493
20.01592897,2357.59613
20.24346603,2376.018391
20.46225826,2391.816229
20.68979532,2410.238489
20.91730534,2436.525918
21.10982699,2454.937379
21.25861544,2462.848448
21.00625927,2024.942432
21.12866896,2066.927798
21.2423248,2108.910463
21.3559536,2158.758298
21.4783092,2216.474001
21.60071889,2258.459367
21.69685801,2303.058355
21.83674836,2352.91429
21.95035913,2408.00557
22.09028554,2447.374613
22.20392335,2494.600724
22.31757018,2539.205113
22.44875175,2575.949733
22.57990628,2620.559522
22.71982368,2662.550288
22.85098723,2704.538354
23.00841233,2746.53452
23.20958867,2793.787632
22.8204434,1404.153022
22.93413531,1435.648796
23.03904631,1475.007039
23.17898174,1511.75436
23.28388373,1553.734325
23.40632047,1587.854523
23.51999434,1624.593743
23.63368624,1656.089517
23.77363068,1690.215115
23.89606742,1724.335312
24.01852219,1753.212064
24.17597434,1787.343061
24.31590076,1826.712104
24.4821338,1852.980633
24.63958595,1887.111631
24.77080359,1913.369359
24.96330721,1937.024265
25.14704797,1963.298194
24.79789456,1672.178958
24.93794719,1674.843881
25.10422531,1688.003795
25.2792663,1698.544687
25.45431631,1706.463856
25.62058542,1722.245494
25.81317018,1722.304894
25.99696503,1732.848486
26.23331003,1735.54311
26.45215635,1735.61061
26.68852841,1730.440065
26.90740177,1722.642397
27.13502899,1714.847429
26.92559464,1523.396861
27.07441013,1523.442761
27.24952325,1513.009871
27.45089792,1502.58508
27.68731505,1484.30592
27.88871677,1466.015961
28.07261079,1447.720602
28.25651382,1426.803519
28.40541045,1403.253914
28.54554422,1382.323332
28.67693314,1358.768326
28.79080535,1337.829644
