wave,R
4.862018464,3400.210033
4.919206481,3419.833261
4.962532278,3439.444418
5.011117512,3462.974587
5.065103742,3494.338757
5.119671581,3525.702928
5.17483248,3553.152109
5.235673647,3592.350281
5.286922453,3623.710428
5.333470869,3655.066551
5.380434509,3682.507685
5.422517361,3713.859785
5.475584093,3753.049909
5.534557521,3796.159046
5.561556468,3827.499075
5.605055958,3858.851174
5.637898057,3886.280238
5.687519523,3929.381327
5.72641893,3960.729403
5.759966369,3992.073455
5.611158134,3416.461462
5.655085244,3420.40864
5.699344817,3432.185795
5.760762836,3451.804999
5.834206945,3471.43225
5.902812291,3502.800444
5.978055413,3530.257673
6.048346236,3565.540856
6.107549796,3596.901003
6.167326685,3632.176138
6.215576638,3655.69826
6.270301338,3687.054383
6.313192968,3714.48747
6.362564978,3749.754559
6.412316674,3788.936636
6.456166814,3824.199701
6.493982874,3859.458742
6.5447753,3890.810841
6.583103775,3929.984871
6.628108548,3973.077914
6.381871799,3338.692804
6.450657879,3350.48203
6.532890932,3374.024271
6.616178922,3393.651522
6.693979598,3425.019716
6.785906368,3460.310946
6.865709774,3487.764151
6.93968302,3515.213333
7.000783074,3546.569456
7.069302374,3581.844591
7.152417066,3621.042763
7.208366631,3648.479874
7.278910335,3687.669998
7.33583469,3722.937087
7.422083037,3762.135258
7.487392846,3813.066325
7.523933286,3836.576376
7.430409068,3190.550915
7.503133279,3225.826051
7.569179032,3265.012151
7.628365775,3304.194229
7.695513878,3343.380329
7.75570403,3374.732429
7.81638062,3398.254551
7.885207411,3425.695685
7.962382904,3460.970821
8.032511407,3480.581977
8.103257566,3500.193134
8.182591793,3523.723303
8.270761813,3547.257496
8.359881893,3570.791689
8.449979202,3586.495904
8.549378084,3602.204143
8.641534975,3610.07838
8.751732427,3617.960665
8.794487232,3621.895772
8.659649654,3046.328038
8.744431189,3069.858207
8.829998535,3112.963321
8.907741768,3144.319444
8.977422306,3171.756554
9.065296801,3203.116701
9.154040616,3230.561859
9.252659764,3261.92603
9.334133646,3289.367164
9.443923561,3308.990392
9.527091154,3332.516537
9.629719635,3367.795696
9.723998554,3391.325865
9.828758025,3422.690036
9.963753899,3450.151288
10.05147922,3481.507412
10.14989751,3501.122592
10.23929249,3520.733749
9.926387839,2894.206782
10.0137942,2921.647917
10.08227277,2956.910981
10.1611105,2996.093058
10.25057344,3027.449182
10.33073754,3062.71627
10.42167306,3101.902371
10.50319628,3129.339481
10.59566047,3164.610593
10.69937491,3195.97074
10.77254177,3231.233805
10.92050031,3258.695057
11.05968172,3293.982264
11.23347656,3317.536575
11.34346828,3337.151755
11.48807493,3360.693995
11.66862505,3376.418328
11.81744784,3376.470636
11.43483701,2464.141439
11.51294099,2530.724414
11.59154361,2609.052355
11.65940435,2656.056363
11.71616443,2726.54628
11.81923586,2785.307325
11.92321404,2844.068369
12.01641078,2894.995413
12.13394697,2953.760482
12.31256458,2992.970724
12.49387412,3012.606023
12.6532349,3008.743341
12.83971537,2981.398774
12.91514212,2950.103005
13.04183495,2899.248387
13.14410452,2852.30071
13.2342812,2801.434021
13.31209251,2750.563308
13.39037473,2695.777606
13.45604683,2625.327926
13.24887509,2304.234465
13.39168958,2312.108702
13.52288103,2312.148939
13.69528458,2331.77619
13.86994169,2335.743486
14.10165257,2355.386831
14.37924147,2371.127259
14.61948998,2382.940627
14.8492395,2402.579949
15.0826147,2418.304283
15.27490333,2437.931534
15.49985053,2453.651844
15.63639643,2465.433023
15.36611349,2030.796839
15.5467437,2077.824988
15.68351415,2136.586033
15.85236603,2195.355125
15.97627464,2246.282169
16.11685612,2297.213236
16.27454894,2344.233338
16.41778796,2387.334428
16.5784252,2434.35453
16.75694546,2485.293644
16.92090113,2532.313746
17.086461,2579.333848
17.25367534,2618.523973
17.42250864,2661.629086
17.61017112,2700.823234
17.81718045,2747.851383
18.0618413,2787.057602
17.58164591,1416.698856
17.73644254,1448.054979
17.89258414,1483.326091
18.05008224,1522.512192
18.19122378,1561.694269
18.36921292,1608.714371
18.60330927,1647.916566
18.85874614,1691.037774
19.06182141,1741.976888
19.26719928,1769.42607
19.49370667,1812.53923
19.72295596,1839.992436
19.99378641,1879.198654
20.26837645,1910.574896
20.56679864,1938.040172
20.82900527,1957.667423
20.3488114,1671.776673
20.58819937,1683.569923
20.91176983,1699.294256
21.32339349,1718.949672
21.65856189,1726.844028
21.95612556,1738.645325
22.3666029,1738.721774
22.80695464,1742.717236
23.2560226,1738.882719
23.64467923,1735.036132
24.01640658,1731.185521
24.18095591,1715.553732
23.85429148,1531.492926
24.08800376,1527.618174
24.41906749,1519.844527
24.75468135,1512.07088
25.09495814,1496.467256
25.46472534,1480.867655
25.76447877,1465.255983
26.06773457,1453.5593
26.37463907,1430.117651
26.6851836,1402.761013
27.05210541,1371.497433
27.31725773,1351.962725
