# Taken from: Tamani, A., and Mutschke, H. (2006), ApJ, 648, L147-L150
# w(um)        kappa(cm^2/g)
8.00481000e+00 6.70674994e+00
8.06262000e+00 6.78421720e+00
8.15414000e+00 6.90684876e+00
8.24084000e+00 1.37233689e+01
8.38534000e+00 2.06173064e+01
8.47685000e+00 3.41405267e+01
8.55873000e+00 4.76508856e+01
8.62618000e+00 3.43406255e+01
8.68879000e+00 5.45256806e+01
8.78994000e+00 6.13611439e+01
8.88626000e+00 8.15913633e+01
8.95849000e+00 1.21889789e+02
9.03073000e+00 1.48787975e+02
9.13185000e+00 1.89125284e+02
9.20889000e+00 2.36130559e+02
9.27149000e+00 2.69716153e+02
9.35333000e+00 3.43528887e+02
9.41587000e+00 4.50818042e+02
9.45914000e+00 5.78182882e+02
9.49757000e+00 7.32339726e+02
9.52637000e+00 8.79786730e+02
9.55036000e+00 1.01382402e+03
9.56954000e+00 1.13445659e+03
9.59353000e+00 1.27519375e+03
9.60787000e+00 1.42932069e+03
9.62703000e+00 1.59015248e+03
9.64618000e+00 1.75768414e+03
9.66533000e+00 1.92522078e+03
9.68931000e+00 2.08605756e+03
9.70846000e+00 2.24688935e+03
9.72281000e+00 2.39431641e+03
9.74679000e+00 2.55515817e+03
9.78041000e+00 2.69591029e+03
9.79960000e+00 2.79643826e+03
9.81881000e+00 2.88356648e+03
9.84769000e+00 2.92381057e+03
9.89104000e+00 2.91716554e+03
9.91036000e+00 2.85019176e+03
9.93453000e+00 2.72961901e+03
9.95869000e+00 2.60904128e+03
9.97804000e+00 2.49516342e+03
9.99741000e+00 2.35448608e+03
1.00216000e+01 2.23390835e+03
1.00409000e+01 2.09323100e+03
1.00555000e+01 1.96594343e+03
1.00892000e+01 1.89228474e+03
1.01133000e+01 1.92581898e+03
1.01374000e+01 1.95935323e+03
1.01567000e+01 1.85217524e+03
1.01712000e+01 1.73828741e+03
1.01810000e+01 1.60429498e+03
1.01907000e+01 1.47700243e+03
1.02052000e+01 1.36981945e+03
1.02342000e+01 1.22915208e+03
1.02439000e+01 1.12865901e+03
1.02825000e+01 1.09520950e+03
1.03162000e+01 1.12875372e+03
1.03450000e+01 1.25610111e+03
1.03641000e+01 1.43703252e+03
1.03785000e+01 1.58445958e+03
1.03928000e+01 1.74528638e+03
1.04120000e+01 1.82571474e+03
1.04602000e+01 1.87268363e+03
1.04890000e+01 1.97992642e+03
1.05178000e+01 2.16087278e+03
1.05321000e+01 2.30829984e+03
1.05513000e+01 2.46243176e+03
1.05753000e+01 2.61656866e+03
1.05896000e+01 2.76399573e+03
1.06232000e+01 2.94494707e+03
1.06423000e+01 3.11918359e+03
1.06808000e+01 3.24654095e+03
1.07144000e+01 3.38729307e+03
1.07577000e+01 3.55485962e+03
1.08057000e+01 3.70232657e+03
1.08441000e+01 3.86988814e+03
1.08826000e+01 4.02404498e+03
1.09258000e+01 4.18491167e+03
1.09691000e+01 4.33237861e+03
1.10123000e+01 4.45304109e+03
1.10557000e+01 4.50000000e+03
1.10942000e+01 4.47995024e+03
1.11232000e+01 4.37948707e+03
1.11618000e+01 4.19192559e+03
1.11861000e+01 3.93735045e+03
1.12152000e+01 3.68277531e+03
1.12395000e+01 3.38799595e+03
1.12734000e+01 3.07312696e+03
1.12929000e+01 2.71133395e+03
1.13172000e+01 2.38975511e+03
1.13512000e+01 2.02128217e+03
1.13804000e+01 1.65950411e+03
1.14288000e+01 1.31115571e+03
1.14820000e+01 9.15908205e+02
1.15400000e+01 6.74772683e+02
1.16268000e+01 4.87281988e+02
1.16799000e+01 4.33750820e+02
1.17569000e+01 4.33854010e+02
1.18099000e+01 5.14329725e+02
1.18483000e+01 6.21587475e+02
1.18820000e+01 6.48431823e+02
1.19206000e+01 6.08282449e+02
1.19544000e+01 4.94421538e+02
1.20026000e+01 3.93981305e+02
1.20701000e+01 2.73466385e+02
1.21762000e+01 1.93205026e+02
1.22725000e+01 1.59832293e+02
1.23978000e+01 1.39899181e+02
1.25086000e+01 1.26647495e+02
1.26820000e+01 1.13479058e+02
1.28458000e+01 1.06998030e+02
1.29710000e+01 1.07166026e+02
